,Path,Certification date,City,State,Country,Rating system,Version,Certification level
Walden Pond Visitor Center,https://www.usgbc.org/projects/walden-pond-visitor-center,22-Jun-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
West Springfield Public Library,https://www.usgbc.org/projects/west-springfield-public-library,15-Aug-16,West Springfield,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Lunder Arts Center at Lesley University,https://www.usgbc.org/projects/lunder-arts-center-lesley-university,27-Dec-16,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Winthrop Middle High School,https://www.usgbc.org/projects/winthrop-middle-high-school,14-Nov-17,Cambridge,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
Boston Public Market,https://www.usgbc.org/projects/boston-public-market,28-Sep-17,Boston,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v4,Silver
Essex Technical High School,https://www.usgbc.org/projects/essex-technical-high-school,22-Mar-17,Hathorne,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
The Bryant School Redevelopment,https://www.usgbc.org/projects/bryant-school-redevelopment,21-Apr-16,Great Barrington,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Woodland Elementary School,https://www.usgbc.org/projects/woodland-elementary-school-0,18-Sep-18,Cambridge,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
Bentley University Arena,https://www.usgbc.org/projects/bentley-university-arena,27-Apr-18,Waltham,Massachusetts [MA],United States [us],New Construction,v2009,Platinum
"L.L. Bean Mansfield, MA",https://www.usgbc.org/projects/ll-bean-mansfield-ma,3-Mar-09,Mansfield,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v1.0 pilot,Silver
BMS Biologics Development Building,https://www.usgbc.org/projects/bms-biologics-development-building,13-Apr-16,Devens,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Arrowstreet Offices,https://www.usgbc.org/projects/arrowstreet-offices,22-May-15,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
UMass Research and Education Greenhouse,https://www.usgbc.org/projects/umass-research-and-education-greenhouse,28-Jan-13,Amherst,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Bay Path Regional Vocational Tech HS,https://www.usgbc.org/projects/bay-path-regional-vocational-tech-hs,7-Jun-16,Charlton,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Silver
One Boston Place,https://www.usgbc.org/projects/one-boston-place,10-Nov-08,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2008,Gold
71 Westminster Avenue,https://www.usgbc.org/projects/71-westminster-avenue,13-Feb-14,Roxbury,Massachusetts [MA],United States [us],Homes,v2008,Platinum
