"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Walden Pond Visitor Center","https://www.usgbc.org/projects/walden-pond-visitor-center","22 Jun 2017","Boston","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"West Springfield Public Library","https://www.usgbc.org/projects/west-springfield-public-library","15 Aug 2016","West Springfield","Massachusetts [MA]","United States [us]","New Construction","v2009","Silver"
"Lunder Arts Center at Lesley University","https://www.usgbc.org/projects/lunder-arts-center-lesley-university","27 Dec 2016","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"Winthrop Middle High School","https://www.usgbc.org/projects/winthrop-middle-high-school","14 Nov 2017","Cambridge","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Gold"
"Boston Public Market","https://www.usgbc.org/projects/boston-public-market","28 Sep 2017","Boston","Massachusetts [MA]","United States [us]","Retail - Commercial Interiors","v4","Silver"
"Essex Technical High School","https://www.usgbc.org/projects/essex-technical-high-school","22 Mar 2017","Hathorne","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Silver"
"The Bryant School Redevelopment","https://www.usgbc.org/projects/bryant-school-redevelopment","21 Apr 2016","Great Barrington","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"Woodland Elementary School","https://www.usgbc.org/projects/woodland-elementary-school-0","18 Sep 2018","Cambridge","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Silver"
"Bentley University Arena","https://www.usgbc.org/projects/bentley-university-arena","27 Apr 2018","Waltham","Massachusetts [MA]","United States [us]","New Construction","v2009","Platinum"
"L.L. Bean Mansfield, MA","https://www.usgbc.org/projects/ll-bean-mansfield-ma","3 Mar 2009","Mansfield","Massachusetts [MA]","United States [us]","Retail - Commercial Interiors","v1.0 pilot","Silver"
"BMS Biologics Development Building","https://www.usgbc.org/projects/bms-biologics-development-building","13 Apr 2016","Devens","Massachusetts [MA]","United States [us]","New Construction","v2009","Silver"
"Arrowstreet Offices","https://www.usgbc.org/projects/arrowstreet-offices","22 May 2015","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Gold"
"UMass Research and Education Greenhouse","https://www.usgbc.org/projects/umass-research-and-education-greenhouse","28 Jan 2013","Amherst","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"Bay Path Regional Vocational Tech HS","https://www.usgbc.org/projects/bay-path-regional-vocational-tech-hs","7 Jun 2016","Charlton","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Silver"
"One Boston Place","https://www.usgbc.org/projects/one-boston-place","10 Nov 2008","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Gold"
"71 Westminster Avenue","https://www.usgbc.org/projects/71-westminster-avenue","13 Feb 2014","Roxbury","Massachusetts [MA]","United States [us]","Homes","v2008","Platinum"
"Cambridge Rindge and Latin School","https://www.usgbc.org/projects/cambridge-rindge-and-latin-school","8 Jul 2013","Cambridge","Massachusetts [MA]","United States [us]","Schools - New Construction","v2007","Gold"
"200 Clarendon Street","https://www.usgbc.org/projects/200-clarendon-street","28 Mar 2017","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009","Gold"
"Mount Holyoke College Science Center","https://www.usgbc.org/projects/mount-holyoke-college-science-center","10 Jun 2004","South Hadley","Massachusetts [MA]","United States [us]","New Construction","v2.0","Certified"
"One Western Avenue Graduate Student Resi","https://www.usgbc.org/projects/one-western-avenue-graduate-student-resi","7 Sep 2004","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.0","Silver"
"Terminal B Addition, Logan Int'l Airpor","https://www.usgbc.org/projects/terminal-b-addition-logan-intl-airpor","","East Boston","Massachusetts [MA]","United States [us]","New Construction","v2.0",""
"Wellesley Gateway","https://www.usgbc.org/projects/wellesley-gateway","","Wellesley","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"TD Bank - Hingham MA - 421 Lincoln St","https://www.usgbc.org/projects/td-bank-hingham-ma-421-lincoln-st","26 Apr 2012","Hingham","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"City Year Headquarters","https://www.usgbc.org/projects/city-year-headquarters","29 May 2009","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Certified"
"Perkins Grousbeck Center","https://www.usgbc.org/projects/perkins-grousbeck-center","24 Oct 2012","Watertown","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Silver"
"One Winter Street","https://www.usgbc.org/projects/one-winter-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"One Winter Street","https://www.usgbc.org/projects/one-winter-street-0","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"150 Presidential","https://www.usgbc.org/projects/150-presidential","24 May 2010","Woburn","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Silver"
"Buckland Public Library","https://www.usgbc.org/projects/buckland-public-library","27 Apr 2012","Buckland","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
