City,Latitude,Longitude
ACTON,-71.43284,42.48509310000001
ALLSTON,-71.13212709999998,42.3554344
AMHERST,-72.523143,42.38036760000001
ANDOVER,-71.1408776,42.65717
ARLINGTON,-71.1564428,42.4153739
ATHOL,-72.2267497,42.5959203
ATTLEBORO,-71.2856082,41.9445441
AUBURN,-71.8356271,42.1945385
AVON,-71.04115820000001,42.1306554
AYER,-71.5897897,42.5612021
BARNSTABLE,-70.2994666,41.7001132
BARRE,-72.1050787,42.4228679
BEDFORD,-71.2817947,42.49173010000001
BELLINGHAM,-71.4746436,42.08694929999999
BELMONT,-71.17866550000002,42.3959296
BEVERLY,-70.8800491,42.5584284
BILLERICA,-71.268947,42.5584264
BOSTON,-71.0582912,42.3602534
BOYLSTON,-71.69192190000003,42.3882251
BRAINTREE,-70.999492,42.2223218
BREWSTER,-70.082796,41.7601093
BRIDGEWATER,-70.9750426,41.9903787
BRIGHTON,-71.1564423,42.3500971
BROCKTON,-71.0183787,42.08343350000001
BROOKLINE,-71.1211635,42.3317642
BUCKLAND,-72.79176009999998,42.592307
BURLINGTON,-71.1956111,42.5048167
BUZZARDS BAY,-70.618087,41.745383
CAMBRIDGE,-71.1056157,42.3750997
CAPE COD,-70.34992340000001,41.6718684
CARLISLE,-71.3495046,42.5292597
CENTERVILLE,-70.3481183,41.649013
CHARLESTOWN,-71.06199570000003,42.3778749
CHARLTON,-71.970074,42.13565
CHELMSFORD,-71.3672838,42.5998139
CHELSEA,-71.03282840000001,42.3917638
CHESHIRE,-73.162881,42.5620278
CHESTNUT HILL,-71.1622757,42.33065300000001
CHICOPEE,-72.6078672,42.14870429999999
CHILMARK,-70.74475009999998,41.3431688
COHASSET,-70.80365440000001,42.2417675
CONCORD,-71.34889629999998,42.4605189
DANVERS,-70.9300507,42.5750946
DARTMOUTH,-70.979441725744,41.5942684
DEDHAM,-71.166164,42.2417653
DEERFIELD,-72.6046809,42.5453345
DEVENS,-71.6094356,42.53895120000001
DORCHESTER,-71.0744952,42.29732050000001
DOUGLAS,-71.7395136,42.0542638
DUDLEY,-71.930073,42.0450964
DUXBURY,-70.672259,42.0417695
EAST BOSTON,-71.03921729999998,42.3750973
EAST BRIDGEWATER,-70.9592096,42.0334341
EAST LONGMEADOW,-72.5125863,42.0645396
EAST SPRINGFIELD,-72.5620325,42.1417603
EASTHAM,-69.973907,41.8301081
EASTON,-71.1286594,42.0245442
EDGARTOWN,-70.5133599,41.3890052
ESSEX,-70.8664947,42.629142
EVERETT,-71.0536625,42.40843
FALL RIVER,-71.15463670000003,41.70106420000001
FALMOUTH,-70.6147519,41.5514979
FITCHBURG,-71.8022956,42.5834228
FLORENCE,-72.6717575,42.3356448
FRAMINGHAM,-71.416172,42.2792625
FRANKLIN,-72.6110645,42.5896205
GARDNER,-71.998133,42.5750883
GEORGETOWN,-70.9917748,42.7245953
GILL,-72.4995325,42.64036289999999
GLOUCESTER,-70.66198879999997,42.6159286
GRANBY,-72.5161983,42.2564807
GREAT BARRINGTON,-73.36336309999999,42.1937297
GREENFIELD,-72.6006199,42.58779620000001
HADLEY,-72.58842220000002,42.3417565
HALIFAX,-70.861985,41.991213
HANOVER,-70.81198590000002,42.1131572
HARWICH,-70.0758508,41.6862224
HATFIELD,-72.5966543,42.3709616
HATHORNE,-70.9744964,42.5862053
HINGHAM,-70.8897676,42.2417669
HOLLISTON,-71.42450490000002,42.2000966
HOLYOKE,-72.6155062,42.2045965
HOPKINTON,-71.5195534,42.2288427
HYANNIS,-70.28259179999999,41.651513
HYDE PARK,-71.1244963,42.2556543
IPSWICH,-70.8411583,42.679273
JAMAICA PLAIN,-71.12032990000002,42.3098201
KINGSTON,-70.72448220000003,41.9945473
LAWRENCE,-71.1631137,42.7070354
LEEDS,-72.7010568,42.3543687
LEOMINSTER,-71.759794,42.5250906
LEVERETT,-72.5012367,42.4521433
LEXINGTON,-71.2245003,42.4473175
LINCOLN,-71.3039469,42.4259283
LOWELL,-71.3161718,42.633424700000006
LUDLOW,-72.47591899999998,42.1600936
LYNN,-70.94949390000002,42.466763
LYNNFIELD,-71.0481084,42.5389836
MANSFIELD,-71.2189405,42.0334326
MARBLEHEAD,-70.8578253,42.500096
MARION,-70.76281290000001,41.70010429999999
MARLBOROUGH,-71.55228740000003,42.3459271
MARSHFIELD,-70.7055941,42.091769
MASHPEE,-70.4811383,41.6484421
MATTAPAN,-71.0924304,42.2675061
MEDFIELD,-71.30546,42.1865609
MEDFORD,-71.10616390000001,42.4184296
MELROSE,-71.06418199999997,42.4564323
METHUEN,-71.19089240000002,42.7262016
MILLBURY,-71.7600702,42.1939835
MILLIS,-71.35783570000002,42.1675975
MILTON,-71.06616120000002,42.2495435
MOUNT HERMON,-70.9786617,42.4964846
NANTUCKET,-70.0683144,41.2657181
NATICK,-71.34699599999998,42.2836393
NEEDHAM,-71.2328329,42.283431
NEW BEDFORD,-70.934205,41.6362152
